"","AHRQ_AbdominalHernia_DT","AHRQ_AcquiredDeformities_DT","AHRQ_AdjustmentDO_DT","AHRQ_Anemia_DT","AHRQ_Asthma_DT","AHRQ_AttentionDeficitDO_DT","AHRQ_BacterialInfection_DT","AHRQ_BiliaryTractDs_DT","AHRQ_Burns_DT","AHRQ_CNSInfection_DT","AHRQ_CerebrovascularDs_DT","AHRQ_COPDAndBronchiectasis_DT","AHRQ_ChronicUlcerOfSkin_DT","AHRQ_CoagulationDO_DT","AHRQ_ComaBrainDamage_DT","AHRQ_CrushingInjuryOrInternalIn0","AHRQ_DementiaAndOthDO_DT","AHRQ_DevelopmentalDO_DT","AHRQ_DisOfArteries_DT","AHRQ_DisOfMouth_DT","AHRQ_DisOfTheHeart_DT","AHRQ_DisOfTheUrinarySystem_DT","AHRQ_DisOfVeins_DT","AHRQ_DisOfWhiteBloodCells_DT","AHRQ_DOOfLipidMetabolism_DT","AHRQ_DOOfTeethAndJaw_DT","AHRQ_DOInChildhood_DT","AHRQ_EarConditions_DT","AHRQ_EpilepsyConvulsions_DT","AHRQ_EyeDO_DT","AHRQ_FluidAndElectrolyteDO_DT","AHRQ_Fractures_DT","AHRQ_GIHemorrhage_DT","AHRQ_GoutAndOth_DT","AHRQ_Headache_DT","AHRQ_NSConditions_DT","AHRQ_Hypertension_DT","AHRQ_ImmunityDO_DT","AHRQ_ImpulseControlDONEC_DT","AHRQ_InfectiveArthritis_DT","AHRQ_IntestinalInfection_DT","AHRQ_IntracranialInjury_DT","AHRQ_JointDisorderTraumarelated_","AHRQ_LiverDs_DT","AHRQ_LowerGIDO_DT","AHRQ_Mycoses_DT","AHRQ_NontraumaticJointDO_DT","AHRQ_NoninfectiousGastroenterit0","AHRQ_NutritionalDeficiencies_DT","AHRQ_OpenWounds_DT","AHRQ_Osteoporosis_DT","AHRQ_OthBoneDs_DT","AHRQ_OthConnectiveTissueDs_DT","AHRQ_OthEndocrineDO_DT","AHRQ_OthGIDO_DT","AHRQ_OthHematologicConditions_DT","AHRQ_OthInfections_DT","AHRQ_OthInflamCondOfSkin_DT","AHRQ_OthInjuriesExternalCauses_D","AHRQ_OthLowerRespiratoryDs_DT","AHRQ_OthNervousSystemDO_DT","AHRQ_OthNutritionalEndocrineDO_D","AHRQ_OthSkinDO_DT","AHRQ_OthUpperRespiratoryDs_DT","AHRQ_PancreaticDO_DT","AHRQ_Paralysis_DT","AHRQ_PathologicalFracture_DT","AHRQ_PersonalityDO_DT","AHRQ_Pleurisy_DT","AHRQ_Poisoning_DT","AHRQ_RespiratoryFailure_DT","AHRQ_RespiratoryInfections_DT","AHRQ_SkinInfections_DT","AHRQ_SpinalCordInjury_DT","AHRQ_Spondylosis_DT","AHRQ_SprainsAndStrains_DT","AHRQ_SuicideAndSelfInjury_DT","AHRQ_SuperficialInjury_DT","AHRQ_SystemicLupus_DT","AHRQ_ThyroidDO_DT","AHRQ_UpperGIDO_DT","AHRQ_ViralInfection_DT","NEPEC_DXALC_DT","NEPEC_DXDRG_DT","NEPEC_SCHZ_DT","NEPEC_MDD_DT","NEPEC_AFBPDX_DT","NEPEC_PTSD_DT","NEPEC_DXODep_DT","NEPEC_ANXunsp_DT","NEPEC_ANXgen_DT","dmdxDT","cancerdxDT","anomdxDT","genitaldxDT"
"AHRQ_AbdominalHernia_DT",0,0.021785515063335,-0.0648252122107042,0.0909660098139276,0.252191184625739,-0.163508219203228,-0.131310370090835,0.710723051774099,0.0564113343500003,-0.797252718602714,-0.37382721827281,0.142074712318574,-0.981965162019287,-0.512965883536862,-0.564841751921263,0.320627041184379,0.389375915773663,-0.132138911863566,0.00331063623692259,-0.244302631728121,0.113271829009888,0.0371434060616711,0.368961200156236,-0.301574042061382,0.111288986375813,0.113159365672804,-0.287893222768612,0.11274131618267,-0.21121545817036,-0.0142831180315836,-0.256533608872353,0.100665463150308,0.604370634352389,-0.19539258815159,0.135779840542979,-0.493431245194571,0.0662874406141569,-1.59537801962907,0.0805898082271926,-0.64606713719967,-0.335489483289786,-0.241632449215532,0.237860171352287,0.204734680323215,0.626367301325884,0.0488816131334553,0.167949644817917,0.553971423851461,-0.41820393552742,-0.084168180528402,-0.17502833058139,-0.0102622642195453,-0.0612451154037709,-0.122654772106605,0.66547987901056,-0.127525638505166,0.0626419617500956,-0.0451331169473096,0.0840415202021896,-0.0469220995416269,-0.123286605247086,0.00509434497198493,0.129100848329028,0.108834998594274,0.243862078155851,-0.560562373852523,-0.609801325219128,0.186015162358354,-0.511039060671319,-0.0294402067307673,-1.15890451596811,0.350817867637054,0.107169620526947,-0.991887730832417,0.112043746949404,0.2093626319091,-0.123225602419814,0.0911302340353517,-0.296192442855019,-0.144086809235159,1.24640881789201,0.137657109830592,-0.592427972229191,0.177093067921032,0.107212122254616,-0.498739714299747,0.193681280185652,0.218394348557051,0.566455195640146,-0.19006778888276,-0.187180055501366,-0.258790584001268,0.0987473442797239,0.00511557441480885,0.170253984885914
"AHRQ_AcquiredDeformities_DT",-0.029976506774631,0,-0.0259562567753548,-0.438555028913218,0.0249191307603608,-0.0688683360737676,-0.481754845070192,-0.470740721969514,0.465003197211859,-0.437117010725729,-0.291921764256879,-0.215005568749992,0.0182108476319438,-1.09409009304533,-0.149384868247656,0.639755145921048,0.559470023140006,0.154288846288173,-0.149388445802324,-0.336567443967685,-0.184576330788615,-0.218619902787095,-0.0387383875866985,-0.739454876273932,-0.0221749034600691,0.211415872927813,-0.089074231611303,0.192978541079802,-0.31132838110758,0.15484150251279,-0.822454408612936,0.429361849845348,-0.0772597431917349,-0.00561860412353526,0.0705360518578156,-0.264091788730603,-0.118579780814685,-1.75418883373593,0.053009198098574,0.106217959185556,-0.707313741175605,-0.0999227705243544,0.568477851317408,-0.0973081099009911,-0.339236082277113,0.527352167464351,0.795778010248096,-0.113638645530132,-0.461372033562814,0.165458371290234,-0.0943849090212254,0.753953181021865,1.07240110645339,-0.1602093338506,-0.161598185172023,-0.672349248258307,-0.122380815610017,-0.0723680485076809,0.321244906658112,-0.202768344260395,0.24914163295449,-0.0791952460204007,0.430315496333724,0.198763453960738,-1.00911181747796,0.433021278292204,0.00352587829862478,0.0872010144264555,-1.19547364941979,-0.252692518858353,-1.68088184732316,0.178937138721501,0.116861961120808,0.00759075206880794,0.494502886091194,0.491784687440455,-0.388974602052788,0.235229870583775,-0.424977673760725,-0.204429344835706,0.00594350989113842,0.134194530729433,-0.713431696901462,-0.0158667716289541,-0.046942649160189,-0.528880929614733,0.0410821547481252,0.234352687948029,0.495289355117727,-0.248026545876159,-0.272404731050258,-0.256587648183153,-0.311974365097714,0.870268479114701,0.0217390230108907
"AHRQ_AdjustmentDO_DT",0.0702003175414605,0.138657178323005,0,-0.133793972550138,0.100559931642439,-0.0172956860852958,-0.108122383548904,-0.0758782645556524,0.359342113993149,-0.230846279686522,-0.0146323847627442,0.0960371655250438,0.00943003255574133,-0.450653785737693,-0.343182232255011,0.304376982004188,0.518498994356239,0.198193665783273,0.0565539373765189,-0.238791743226772,0.0661271039067941,-0.0202079802366683,0.0601997320512002,-0.282748393763445,-0.0332619712157872,0.157845837661786,-0.239844822380098,0.122955834169626,-0.0511036060300186,0.0299131316810355,-0.23167158265272,0.181454483520505,0.164172477143145,-0.213214876443596,0.0655659221752779,-0.234655995612841,-0.0239228217107158,-0.795499689668318,0.316586911813288,0.0080783102216704,-0.25952191407536,-0.232102576640005,0.247662522263831,0.0176070318475894,-0.0734429117409839,0.229262067517854,0.186034278073309,0.315265680048424,-0.477376784681153,-0.0215673499007903,0.11834819442921,0.0730226742199067,-0.00039111284409747,-0.174037794890081,0.00093858533688575,-0.344902544582375,0.150852881951608,0.00639818726899127,0.176511058083539,-0.0386196889876232,-0.0313609820496209,-0.0612891148990575,0.148021411267101,0.0365695083545946,-0.414759436239767,0.505814316828297,-0.206112988972266,0.35125935932114,-0.600869079487515,0.14737241003788,-1.02248103888749,0.331862049013417,0.213348775799334,0.439804157492414,0.158077246222313,0.270156930438525,0.196553999666472,0.223575029145848,-0.120937983996282,-0.158075519151341,0.0438497213771554,0.202570961427418,-0.381785806712865,0.240341171878005,-0.272437871966328,-0.371716930895443,-0.119202659905334,-0.00490659643975305,1.0085886173723,0.173898484243301,-0.139771574922578,-0.153219728049877,-0.218297903483478,-0.165415720124237,0.120008511437622
"AHRQ_Anemia_DT",0.168454258056268,-0.183813268750898,-0.140857350111344,0,-0.0204319257393056,-0.237164650516591,0.603858059432323,0.341699857249741,0.314066104013783,0.75446598177003,0.155723984347985,0.15389244232671,1.20800084057723,1.33253220164967,0.632183997316065,0.813780908133312,0.419085234191039,0.0303949322668083,0.239222788469974,-0.119439923246327,0.308264309491671,0.329978605181542,0.375397131750763,1.027480322214,0.135945470396429,0.014970719295038,-0.115617499267492,-0.0810016797649776,0.498273243840187,-0.0870466546786319,1.14935155221448,0.231684635544496,0.906682877869774,0.24134781260114,-0.0632389089299151,-0.0143723761040191,0.227935221152682,-0.565722052403284,0.0581420922823776,1.21216601466388,0.615357940198738,-0.312294475090257,0.0238057598567501,0.547039505868288,0.55313199618352,0.0758029221859799,-0.0428992773089706,0.546026357146191,0.469961041265726,0.255320190381723,-0.211145658796934,-0.131489235699874,-0.266662422555307,0.101545656711775,0.355614078134531,1.04634787098248,0.343599398881773,-0.0174535889422735,0.210809253461439,-0.0708499908744892,-0.0388229352364474,0.0495052450439833,-0.0291651503625726,-0.0674226876566183,1.24704101494647,0.826939112157675,0.225093225744385,0.366451783267702,1.18044858970733,0.573353583647654,0.896840863646154,0.143954767234438,0.360692245698745,1.01470307620505,-0.116975783269705,-0.0663799983549019,0.234373928796588,0.123190201488653,0.562342235251878,0.170612648872133,0.33286478291559,0.276367074771501,-0.0815199781918867,0.508396870236331,0.564939626332968,-0.415647246222413,0.179997341187525,-0.0568691250064211,0.519196438387642,-0.251696750815936,-0.242675831279584,0.102596001454495,0.148491935213321,-0.286743770604874,0.164761483643942
"AHRQ_Asthma_DT",0.0453682822612795,-0.0536414113661579,-0.13239663300247,-0.443184578164584,0,-0.00776036489032696,-0.494482063467062,-0.269715004552415,0.281068592931021,-0.644504897294426,-0.638815597001207,1.49882404494214,-1.29055380539797,-0.966937081571472,-0.491107346585845,-0.069396368480663,0.711620910897437,0.268338135634771,-0.16156467508538,-0.38401798148728,0.0993064984047898,-0.22160697152336,-0.123534287297525,-0.508587983971012,0.00176823045402921,0.119835092121737,-0.0287184840207625,0.176288934938304,-0.12293685390073,-0.0230764894671183,-0.59885329612494,-0.0697399438490521,0.0783638892648591,-0.109489285462856,0.22026457179125,-0.379791109466732,0.0673499866535395,-0.233464253707517,0.0826323201675706,-0.608290834253805,-0.641479495946581,-0.106919026108917,0.180983010187278,-0.0546505232095493,-0.19745698127706,0.0614541561503907,0.0450768850572403,0.190138782254956,-0.533452470880344,-0.189805491516467,-0.139966764372335,-0.0787213727618539,-0.239364121822814,-0.132583241127029,0.000222685173712547,-0.402488994890025,0.413553685747203,-0.0403383230263515,0.175681793603279,1.31116400245793,-0.147421074042984,-0.00528892393131355,-0.0077232233241578,0.987664084163064,-0.576869995303579,-0.775214006732064,-0.496185126924404,0.25179816011248,-0.497015514649232,0.231873879770441,-0.803761082636855,0.723529360323701,0.0153393068310407,-0.910739081726685,0.0905909608201162,0.203156026145029,-0.0735246038015735,0.0451306819774054,-0.262251686487348,-0.059656799430443,0.426664818352581,0.0437585822509909,-0.844293005299487,0.0247525335868582,0.23655983800749,-0.525054938338231,0.246626068962576,0.305147987800544,0.590637691829107,-0.219869530480053,-0.301683880508839,-0.277794127917506,-0.42538408091323,-0.308433581235193,-0.0518459552509241
"AHRQ_AttentionDeficitDO_DT",0.00801624562969581,0.213615288580173,0.164777573304582,-0.503967018234781,0.260273517157314,0,-0.168344431788175,-0.402792394314759,0.384423859585501,-0.57662859790148,-0.204802964185715,0.0524946095649271,-0.78512868252797,-0.647891175284404,-0.144366389907696,0.289458450803033,0.932959118212139,1.07854489350208,-0.0903587128385236,-0.0820424891788631,-0.15615448411308,-0.104647914944249,-0.0214427650247439,-0.62154176192001,-0.147634789214284,0.171869147734736,0.825286400448555,0.115267702159174,-0.0775742821331743,0.116851855853778,-0.612782759414702,0.26436990622855,0.13909090310513,-0.469375182478415,0.0273041319418679,-0.288927187593293,-0.227522668386573,-1.00910698177486,0.282678138666078,-0.0220916956879747,-0.379471864642082,-0.010846462597949,0.280056706536472,-0.0908443228480309,-0.0769116649418301,0.110938735959337,0.132595860712937,0.0597506997495026,-0.516674604208044,-0.0672745247710702,0.230172854394515,0.0788734668969464,-0.0285314609167886,0.155788025875857,-0.093801650601479,-0.516835403003869,0.011649009037428,0.0462087916150489,0.314418623550855,-0.142961047635343,-0.0490384685178477,-0.213920607066593,0.173919521326701,0.152040540413885,-0.721369352527402,-0.292023265143844,-0.274892629858134,0.245897849458695,-0.691675790929997,-0.0701252553541526,-1.039928449,0.321099398508976,0.134857891078213,-0.314190915019866,0.113728168615824,0.354679915205465,-0.410336047116471,0.205827758030116,-0.0020910640220905,-0.0440260884910995,0.0441086154219217,0.296235228872858,-0.70827687800061,0.262365038366462,-0.0812903165869429,-0.233083991171259,0.650933629851209,0.460143840145904,0.908478165069165,0.236767881534965,0.223711020010064,-0.360802197661167,-0.200580566355406,-0.162912534399078,0.126900712651054
"AHRQ_BacterialInfection_DT",0.18216753190767,-0.169118452716091,-0.120376614976139,0.634187991451471,-0.0272034616949813,-0.105554412751967,0,0.508047689328155,0.600834980475819,1.41396917197771,0.0930163652214958,0.347498814772058,1.73544426104922,0.569573862936466,0.4560784613297,0.558051464596544,0.371543449201077,0.241471451958441,0.0894923838239523,0.195505229117193,0.215704166062479,0.903540526689332,0.20984587826554,0.692375378433445,-0.29805857968758,0.195588350707845,-0.390202797751776,-0.10403315048466,0.113160472715028,0.00864413926301297,0.871681054087206,0.388978813594749,0.351048567421628,-0.0618580999494104,-0.18235563250811,-0.161672925992653,-0.1648111982662,-0.126602466544107,0.122523182121905,2.64467515988511,1.0729796887134,-0.310731759893088,0.00714730666365199,0.219122359170919,0.528275758455586,0.361321245414095,-0.195789124642767,0.544639577421367,-0.304725566250595,0.491654991727857,0.100328532672967,-0.102949431619141,-0.209370718832132,-0.188919437041834,0.444235668244094,0.327950291567936,0.823806053615267,0.151576124806482,0.634722259002856,0.00123233323936413,-0.171015879546113,-0.288853950327194,0.273623184325156,-0.0923378970040709,0.634806606731793,1.21868141392338,0.0915806465268001,0.390223409147177,1.15247072325173,0.279938721454185,1.34410626187529,0.59061375759753,1.54943562352411,1.65996090231956,-0.195154700574423,0.111688801049879,0.109532016641297,0.370127300880069,0.195908874796368,-0.180785675649826,0.316457129195303,0.943113436797337,-0.249843185223856,0.699641239514642,0.375597629020107,-0.429589455657289,0.212181742615793,-0.0291807108074187,0.499983444592252,-0.2363391773558,-0.304178055349619,-0.2156434522649,0.101951105448979,-0.215414169687102,0.405037837758345
"AHRQ_BiliaryTractDs_DT",0.56020184771835,-0.205683380088783,-0.0881826838952978,0.162250909759272,-0.0519552046097846,-0.309422175786735,0.182912850980623,0,0.355433182540941,-0.132004254907056,-0.274657657910078,0.0558071823453951,-0.119857614928818,0.148435561716019,-0.237043550802632,0.564946054534873,0.393473409411545,-0.040456749343401,0.075108461198991,-0.321664256903601,0.318178027993662,0.33574740018096,0.0964072438153538,0.298025254468162,0.165716854882869,0.00878034798698877,-0.337714425493213,-0.0138135073140132,0.046985855086075,-0.0343026199477357,0.36382073242627,0.0556735723822739,0.335485683573336,0.124473787864102,0.0959392882074321,-0.292252119023002,0.196336280595952,-0.37663988733613,-0.0293601439717528,-0.194033597292275,0.171184214441411,-0.280013560944801,0.112078872893821,1.39481625682324,0.493163261588044,0.0442695922383957,-0.0205240597202831,0.626734339491048,-0.366078788005173,-0.219976986263971,-0.256926791323567,-0.197371701996754,-0.173582837814189,-0.0346885697174449,0.574279711412123,0.358802903732509,0.311304521907693,-0.1143800933713,0.083779655422587,-0.092947612524175,-0.116881895972617,0.298797034056571,-0.00947172222351379,-0.148468133443505,2.05859162790068,0.330400279247521,-0.278656654319037,0.224415440519105,0.279723473613407,0.292756634535289,-0.331241883704548,0.314933473381784,0.158247807873618,0.659649631530716,0.0573413237127626,0.00923831410887208,-0.0322103406431983,-0.00742976835775575,-0.660908465025359,-0.00419617430627953,0.768807532253949,0.348769214191731,-0.420419567095073,0.0978162313544604,0.182630466830317,-0.42389653216448,0.124302208489536,0.150253583600167,0.646368199030655,-0.234324942478162,-0.290879769165132,0.0169676957036976,-0.0136335998186813,0.0381010922411839,0.152233656523022
"AHRQ_Burns_DT",0.160986468647864,0.157843603117041,-0.0154387539798061,-0.33344267279284,0.182376225778588,-0.0926650647695929,0.0228959040527146,-0.00477396052697692,0,-0.153027667201172,0.0347103834873417,0.40101880987736,0.935701366743109,-0.936900537513918,-0.0105734286538706,1.1687989543197,0.814879649753744,-0.0225946610390654,0.0463812437423382,-0.0448420053275716,0.0422056002332291,0.0110195805343011,0.044304474692418,-0.30299146484378,-0.186930090661483,0.265354037513507,-0.710834651122548,0.278106808036968,0.256687464906266,0.273374182828261,-0.108294896863697,0.616853374214968,0.191893834688865,-0.182114202001502,0.0492943160122551,-0.240524274027378,-0.0424206769024269,-12.121312866035,-0.0307284110799205,0.607108562769878,0.134392042070512,0.0379508730859919,0.236940208495112,-0.272097020385541,-0.0778855189346817,0.268752151356506,0.00690923474691663,0.419445328718851,-0.615381101004632,0.825208066044815,0.580582435687724,0.120425364769268,0.138040087809335,-0.104836668371033,0.105406270310215,-0.248326389365246,0.312112318271468,-0.0368962278438717,0.50189285133574,-0.0764957694460716,0.135363997692508,-0.366815078110282,0.31455726324372,-0.0506461698230324,-0.355137501415418,1.15893955874695,-0.439243668608955,0.567070597761007,-0.914495728702893,0.668471628096821,-0.639652368481665,0.578220877893671,0.587044748060803,1.39950518571815,-0.0571781507352952,0.402700799134369,0.145110842619866,0.920824999408704,-2.94323274863051,-0.253241055979956,-0.00332637868370833,0.247876359333159,-0.357097943262102,0.639047258680815,0.500658798182105,-0.534529096539542,0.325805654157699,0.308604607360501,0.631582331628762,-0.318966440402405,-0.0352960874410033,-0.250468443284596,-0.228321526275332,-0.0576140118800767,0.0801803563992363
"AHRQ_CNSInfection_DT",-0.594317906918151,0.0913464069868437,-0.141678094014167,0.283452782440434,-0.0809068769436222,-0.296449261774707,1.23027352520002,-0.447454476936146,0.530303360160339,0,1.00703473642486,-0.0836254503386129,0.429285422563584,0.13194447009846,0.501487113587606,0.436609593375882,1.1641209361615,0.468461078130631,-0.0861575805909863,0.176556220447359,0.143036540192692,0.654535063870906,-0.0768701322314784,0.771653381521948,-0.33953378217374,0.00381872080901031,-0.288420579561738,0.164276477871629,1.37139833327198,0.231933573472389,0.780753276755798,0.424370438462361,-0.397507263472607,0.00661372294765499,0.954976056824874,0.731305536621247,-0.143561503958668,0.605881320939941,0.16445792090918,2.03294741206914,0.119606882918053,0.214278057937542,0.0243220211370439,0.121044470175789,-0.170432056321545,0.0143327456856261,-0.344560047532999,0.379993581289705,-0.440467762263019,0.269509445947401,0.181749852581057,-0.0821978237042797,-0.0653787087831281,0.0684305660097311,0.396893912164583,0.223317273541347,1.42965629441004,-0.171891318671566,0.461903869111136,-0.203858431981791,0.808058519357,-0.277697941558887,-0.0786151296827391,-0.0990413674463389,-0.6762174721416,1.76101023493631,-0.360780852597952,0.106767478248072,0.232056750083837,0.0713380973142639,0.0218051698865155,0.320841453378596,0.497594324430912,1.27404809010503,0.123534955085558,0.0380185203731177,-0.0723503921522946,0.234878250701907,1.24032912083195,0.185708377836021,-0.307328371132376,0.676416688789182,-0.67529269081741,0.460812998582931,0.548304324264992,-0.486887727680658,0.295606428013458,-0.118981376304405,0.400414519019983,-0.268453784420713,-0.423947720595893,-0.314301208503085,-0.105624334775132,0.0315857789827441,-0.172334340688321
