"","AHRQ_AbdominalHernia_DT","AHRQ_AcquiredDeformities_DT","AHRQ_AdjustmentDO_DT","AHRQ_Anemia_DT","AHRQ_Asthma_DT","AHRQ_AttentionDeficitDO_DT","AHRQ_BacterialInfection_DT","AHRQ_BiliaryTractDs_DT","AHRQ_Burns_DT","AHRQ_CNSInfection_DT","AHRQ_CerebrovascularDs_DT","AHRQ_COPDAndBronchiectasis_DT","AHRQ_ChronicUlcerOfSkin_DT","AHRQ_CoagulationDO_DT","AHRQ_ComaBrainDamage_DT","AHRQ_CrushingInjuryOrInternalIn0","AHRQ_DementiaAndOthDO_DT","AHRQ_DevelopmentalDO_DT","AHRQ_DisOfArteries_DT","AHRQ_DisOfMouth_DT","AHRQ_DisOfTheHeart_DT","AHRQ_DisOfTheUrinarySystem_DT","AHRQ_DisOfVeins_DT","AHRQ_DisOfWhiteBloodCells_DT","AHRQ_DOOfLipidMetabolism_DT","AHRQ_DOOfTeethAndJaw_DT","AHRQ_DOInChildhood_DT","AHRQ_EarConditions_DT","AHRQ_EpilepsyConvulsions_DT","AHRQ_EyeDO_DT","AHRQ_FluidAndElectrolyteDO_DT","AHRQ_Fractures_DT","AHRQ_GIHemorrhage_DT","AHRQ_GoutAndOth_DT","AHRQ_Headache_DT","AHRQ_NSConditions_DT","AHRQ_Hypertension_DT","AHRQ_ImmunityDO_DT","AHRQ_ImpulseControlDONEC_DT","AHRQ_InfectiveArthritis_DT","AHRQ_IntestinalInfection_DT","AHRQ_IntracranialInjury_DT","AHRQ_JointDisorderTraumarelated_","AHRQ_LiverDs_DT","AHRQ_LowerGIDO_DT","AHRQ_Mycoses_DT","AHRQ_NontraumaticJointDO_DT","AHRQ_NoninfectiousGastroenterit0","AHRQ_NutritionalDeficiencies_DT","AHRQ_OpenWounds_DT","AHRQ_Osteoporosis_DT","AHRQ_OthBoneDs_DT","AHRQ_OthConnectiveTissueDs_DT","AHRQ_OthEndocrineDO_DT","AHRQ_OthGIDO_DT","AHRQ_OthHematologicConditions_DT","AHRQ_OthInfections_DT","AHRQ_OthInflamCondOfSkin_DT","AHRQ_OthInjuriesExternalCauses_D","AHRQ_OthLowerRespiratoryDs_DT","AHRQ_OthNervousSystemDO_DT","AHRQ_OthNutritionalEndocrineDO_D","AHRQ_OthSkinDO_DT","AHRQ_OthUpperRespiratoryDs_DT","AHRQ_PancreaticDO_DT","AHRQ_Paralysis_DT","AHRQ_PathologicalFracture_DT","AHRQ_PersonalityDO_DT","AHRQ_Pleurisy_DT","AHRQ_Poisoning_DT","AHRQ_RespiratoryFailure_DT","AHRQ_RespiratoryInfections_DT","AHRQ_SkinInfections_DT","AHRQ_SpinalCordInjury_DT","AHRQ_Spondylosis_DT","AHRQ_SprainsAndStrains_DT","AHRQ_SuicideAndSelfInjury_DT","AHRQ_SuperficialInjury_DT","AHRQ_SystemicLupus_DT","AHRQ_ThyroidDO_DT","AHRQ_UpperGIDO_DT","AHRQ_ViralInfection_DT","NEPEC_DXALC_DT","NEPEC_DXDRG_DT","NEPEC_SCHZ_DT","NEPEC_MDD_DT","NEPEC_AFBPDX_DT","NEPEC_PTSD_DT","NEPEC_DXODep_DT","NEPEC_ANXunsp_DT","NEPEC_ANXgen_DT","dmdxDT","cancerdxDT","anomdxDT","genitaldxDT"
"AHRQ_AbdominalHernia_DT",0,0.380520422959288,0.000418475503943169,0.00356899971437899,1.63932333733989e-20,9.4389800567703e-06,0.00127816542254336,2.89571798006706e-49,0.617365313256797,1.32343974588204e-05,7.9485909566562e-09,0.000107701936088946,4.63136850517303e-17,8.51690826897991e-15,4.60471706846544e-06,0.000372673800919074,3.70091238326072e-35,0.177452738391148,0.89007004863898,0.000141456910462541,2.99629539577298e-09,0.0806690389530189,2.36877638895323e-49,1.99978212894962e-09,3.1130804431307e-13,4.40093643592205e-13,0.0867832697237616,1.36479159202657e-14,3.25802220681447e-05,0.369560637655916,1.84747639190908e-11,0.000583051579815342,4.20085284894421e-95,0.000104947049221111,2.75961567276065e-15,1.10640762051999e-29,5.31786287218905e-05,6.06391463754529e-11,0.214708556137785,2.63126267415277e-06,2.58200912225043e-05,2.90270571103507e-22,3.17046738564078e-23,9.25543872069919e-17,7.27741548507536e-112,0.0687569217413915,2.02498695322492e-32,2.58204871867309e-34,3.49263748737334e-56,0.0690880674486976,0.19127555606976,0.750756380457881,0.000144173738238755,0.00081036538524566,1.11217006900527e-280,0.148952109365113,0.375727919699196,0.180499053541569,0.000782403406345739,0.0227526361661807,1.23072071165362e-11,0.749427482298687,4.67920899514847e-13,4.49130606839765e-09,0.000549798627407121,1.77103082823087e-08,0.000585890402005174,8.02984536059629e-06,2.51682845541335e-09,0.688208369854651,7.95973526544125e-29,2.49952649307866e-81,0.000492680053318057,2.30847234719657e-08,1.59001238893609e-15,9.64742772415775e-22,0.000432216734319775,0.0111964762220065,0.0482063968069856,1.20287739887257e-05,0,2.47702937185875e-07,1.41048799165186e-100,2.21010821182524e-12,0.157829755423462,1.03177702897702e-144,5.3002877091296e-08,2.99993883836033e-48,1.95443533086091e-259,3.08865146026523e-26,1.10733200087537e-08,4.54371755896729e-28,1.36170245838264e-06,0.895811768076549,1.58290114187171e-18
"AHRQ_AcquiredDeformities_DT",0.272204304758489,0,0.0580190660964654,6.20982645809762e-65,0.249563025846582,0.0127793572370248,1.95471334500851e-46,2.82480053213255e-18,1.60717329307793e-09,0.000490697022210013,6.1761282910229e-09,4.29708490354241e-11,0.808786338330346,2.06523672860486e-70,0.0906005109262468,1.99541659556898e-21,3.67364022905322e-119,0.0296428918452572,1.31288269730147e-14,1.52004583223588e-10,1.40464735270931e-32,2.3632267200291e-38,0.0756443723056167,5.6842521054545e-64,0.0649770508005027,9.93937963359961e-75,0.478582275575876,3.08141081316314e-67,3.68079993001558e-14,5.67693418838019e-40,5.22463653570308e-126,1.60179329519333e-95,0.00568343440969041,0.882913922339761,4.65857430566129e-08,4.49677601022968e-16,6.62113061499959e-20,7.54954835298105e-23,0.306839562768716,0.23909046466052,4.45597506201319e-24,8.57279255445127e-08,8.03524025722481e-240,4.6854043088238e-06,2.30869610902908e-31,4.43584486359652e-183,0,0.0089066432304475,3.68788801210391e-117,8.98782682159584e-07,0.347384338683572,1.90065709970863e-280,0,4.31736852250357e-08,3.01660931734579e-22,1.18720231581286e-15,0.0303972422009307,0.00601739885875503,7.08693115740746e-70,8.6316462052618e-35,1.12253176459838e-79,6.5056466259566e-11,2.5323004581018e-247,7.08889257070548e-47,9.29715106144735e-35,3.32062695583087e-12,0.976372731496775,0.00828087068104581,5.83512042004238e-48,6.25323511138727e-05,2.00999503989103e-70,1.15665596653378e-35,8.46254306304378e-07,0.941859179322793,0,1.66776451864495e-214,2.59586436376337e-41,3.26533292063847e-18,4.97456111430053e-05,5.14219251477392e-16,0.655752177923741,4.52602113232803e-11,2.80853439303129e-228,0.426835990864427,0.421371463788597,1.30132306491088e-286,0.146218003581694,3.14989528648383e-98,0,2.53682901046315e-74,1.90783932021987e-26,5.93681177916068e-46,3.73844622925148e-72,2.17263460214686e-243,0.137338291839338
"AHRQ_AdjustmentDO_DT",0.00563774120353179,6.88963579446586e-16,0,2.03824860545704e-08,1.42583342130179e-07,0.401566502344867,0.000184398725149397,0.107582317255433,5.47561304983274e-07,0.0433123450632001,0.763818838355462,0.00160777970587328,0.90818282433294,1.78596891800993e-18,0.000108932387638561,6.65832532814832e-06,7.1427569300614e-118,0.0015602722115048,0.000934275161765672,1.33835378238787e-06,8.40294290127308e-07,0.176638900448818,0.00346076607586122,3.41954262769088e-14,0.00150417399101111,1.98842705059009e-58,0.0189203625023678,1.90334122709344e-40,0.119988148380316,0.00319377611442183,2.7538670519211e-15,1.29540594628283e-21,4.62058193702249e-11,6.59177557535925e-08,1.83194535256137e-09,8.68881729680914e-15,0.0363865662786168,1.12224145869403e-08,4.77027021427297e-15,0.932203442884336,3.06192315530723e-05,1.26459625355833e-48,3.73363682938388e-49,0.351713723958386,0.00493958072373832,1.71968169810304e-35,2.40292903497446e-109,8.63495115392024e-17,7.76210621362889e-148,0.495674402646737,0.284715130387483,0.00144397611716541,0.969981426084503,4.95180994120250e-10,0.948365972562935,3.65982136342338e-06,0.00269017223302791,0.79164574358424,1.90747153663794e-25,0.00836540996482433,0.0089365089041863,5.24487819854893e-09,2.177996966363e-35,0.0046043325356865,1.03451413655615e-09,4.75809610711256e-15,0.0874359527703694,4.63097075168364e-41,2.47490737713599e-15,0.00344301261755429,2.53715044562183e-30,3.51760042738779e-157,1.44352212128154e-24,1.41904967350173e-05,5.87600737606936e-80,6.88677913275822e-75,4.8468242269496e-22,2.87727762668776e-19,0.227759512914432,3.7918026743905e-12,0.000167905735573429,8.65877931224365e-31,2.83725215409527e-122,2.81183242097819e-60,1.09825682342471e-08,2.5130468460176e-216,2.9606065058853e-07,0.587219833903812,0,4.20936617931688e-63,2.7885177653474e-12,3.07592756082011e-19,6.43376112300374e-42,5.74534101626724e-08,4.89599281183697e-20
"AHRQ_Anemia_DT",1.16972315143013e-07,1.01237908531739e-15,6.1871926480312e-16,0,0.425663406493333,6.68215535282821e-10,3.89436275898459e-91,4.36179391088825e-12,0.00104267497193996,8.65492790713028e-12,0.002885405451779,7.96262736458356e-06,3.42271363120079e-67,6.19456787849066e-221,1.47779998312012e-13,1.92269176512485e-25,2.37416315046224e-42,0.732720182555109,2.66290418968449e-29,0.0374682506299967,2.8519979087469e-72,2.12824809891419e-77,1.25178010544727e-57,1.72522112617914e-209,1.07232374244065e-19,0.316821245695457,0.469006483537985,5.31172446100915e-08,6.23323776207725e-36,6.75721712712913e-09,0,1.52011117503196e-17,2.67701362206479e-264,2.33596001421563e-08,8.5277555673787e-05,0.689098292750919,1.46451378127652e-49,5.11965996290915e-05,0.357263451314252,1.26651166657192e-50,2.00675041525855e-24,8.69557135447819e-35,0.32174546968535,1.02390132040052e-128,6.80354154151212e-91,0.00149834190276806,0.00193715614677871,5.61187570300176e-38,3.12326884819171e-136,3.52056445538297e-10,0.0511458176060309,1.75703235848633e-05,4.93584818014261e-66,0.0018425511974449,1.0164219662189e-84,1.87340875546152e-61,1.13810175695342e-09,0.568111643367924,7.95615368042733e-21,0.000272089497683237,0.0210554600059299,0.000774649959175744,0.0828143840567464,0.000137409052439455,2.04927129972317e-115,6.69982281872208e-38,0.087913693521305,2.90211528058047e-24,3.23309426468187e-88,1.73764063321583e-22,3.9303016792904e-42,1.79109783300271e-16,3.60312421847183e-40,3.09576494747896e-25,1.82361160565731e-17,0.00248321518731768,2.56792056041445e-14,0.000205784186259721,3.4707621124934e-11,5.07939154250181e-11,3.53786159355767e-99,1.14037673633946e-31,0.000662601045243688,1.4463959431244e-107,8.28773867594195e-24,1.2157508796474e-124,3.32187283002187e-08,0.000100313390741221,2.05999176087191e-246,1.24467221065993e-49,2.78280420547009e-15,2.69945568370413e-07,1.27998303951173e-15,6.41777218574831e-14,1.11616232438804e-23
"AHRQ_Asthma_DT",0.217722670344975,0.0366418099885547,4.43778928211578e-14,2.07303775216392e-36,0,0.813961307552518,9.77105695851798e-27,0.000122655637725084,0.0123298317447945,0.000542273504470021,5.2509715118112e-15,0,3.28596292377935e-17,3.8334942718538e-32,0.000245383273318892,0.546671046640142,8.79328730135572e-108,0.0034465482919906,1.0895008582782e-09,4.01352682377371e-07,2.78363692320829e-07,4.46520939583124e-23,6.12264813736055e-05,6.37870109914741e-19,0.908228392150279,5.18632410690651e-16,0.85316101489561,2.07667981998947e-36,0.0164539178608561,0.129242405726252,1.61296144126631e-39,0.0251575725484348,0.0350686067723712,0.0462003030102407,1.30585518619194e-43,9.18707765506469e-17,3.52475878395725e-05,0.139060731370485,0.214853891646575,0.000186202919982162,2.40836093705659e-11,9.12820344277086e-06,6.50538513358536e-13,0.0567834410674447,3.45684748827322e-07,0.0263323622816765,0.000432728322839742,0.000627831650938387,8.03122480695035e-83,0.000222216556997432,0.345972799956801,0.022679862229205,1.10748829009179e-51,0.000878555439350979,0.991610168151514,0.000229582613488073,2.56997228604738e-10,0.251951559170002,2.12510410496241e-12,0,3.60602090283619e-16,0.730319617111901,0.668449553570652,0,1.05299411353983e-08,8.86235815710095e-11,0.00682310116458603,4.66130088447675e-10,1.5306699052535e-07,0.00153147214307746,3.05051242927228e-13,0,0.641101064934598,3.25457201199378e-06,1.13678080910193e-12,3.02129281999484e-20,0.029345533554317,0.239245297554962,0.0575884868716455,0.0554348727762985,4.94338250379406e-157,0.108686193662755,6.07829141268097e-192,0.312424476225062,0.000566150599638566,1.35932975756787e-185,1.80841132190091e-13,1.00525508132522e-113,0,2.97269156404225e-39,6.42849255410848e-21,2.69542022797577e-28,7.52308080986842e-71,1.09646855571515e-11,0.00611450385170815
"AHRQ_AttentionDeficitDO_DT",0.849233331443445,7.00737879954095e-14,1.7925215394434e-23,7.36431905079264e-26,5.37008464577771e-18,0,0.00030894381704336,3.24778461154958e-06,0.000183094855942588,0.00538571131223077,0.018764316225916,0.300803349484174,6.45801245521995e-07,1.21381226532912e-13,0.212259982988062,0.00353357664863761,1.47755688556901e-217,2.98694185593182e-58,0.00207155816541044,0.271626425308007,1.32619324782337e-11,3.25721797651496e-05,0.541840468670058,5.79652246291401e-21,3.25082744834645e-16,4.71394297920657e-27,4.63432947337946e-15,1.45093508920965e-14,0.0979184047527749,1.71268420640503e-12,1.29521334889877e-35,3.35792999463893e-22,0.0003696473733188,1.56411061560726e-08,0.116110901727343,1.72727224948209e-09,1.05836887818921e-27,0.000812376286602544,3.07726562983692e-08,0.880365259495939,9.63010948215664e-05,0.62639270606745,5.78534221723212e-26,0.00359854159801251,0.0762930437096641,0.000442471593009705,2.05191173712307e-22,0.326399967092881,3.90522392843114e-63,0.148462055681268,0.278262762581886,0.0286521678623823,0.0934211170782055,0.000144932439258326,5.01277699786216e-05,7.41142421416387e-05,0.889153616497646,0.239567556561362,3.00964510015118e-36,3.79130233348621e-09,0.00997201107677775,5.15789558350014e-33,1.11798389606241e-19,1.65374040840759e-13,1.23710865770716e-10,0.01354610582429,0.1649321604583,1.81156697718639e-13,4.47909067638924e-08,0.305888639590412,5.47276939078249e-13,1.43281400324242e-62,1.7292102990956e-05,0.0861740958303844,5.19825450974408e-17,2.31217533749938e-56,5.00546104706593e-45,1.50843350198423e-08,0.990879911424282,0.242091092229566,0.0189281703701285,3.10776409752696e-30,4.7605918001504e-192,2.2170572292623e-39,0.2012426373316,2.3277990141166e-42,1.15639123250322e-136,4.92008954356238e-241,0,1.52562697477952e-54,1.61742675092637e-18,3.49310925934098e-25,7.17944116178562e-13,0.00152760307241951,1.08012708554221e-08
"AHRQ_BacterialInfection_DT",4.60576859638607e-07,6.34692700483325e-10,8.51795890238745e-10,5.43338531453484e-124,0.370653706953667,0.00435082157563419,0,4.16443445281251e-22,4.65111286943946e-11,7.01827857305733e-47,0.134333748968941,1.20788786942463e-19,7.55965791841682e-147,8.2353936656682e-28,4.20726666997647e-07,7.13193129074088e-11,2.00155524445486e-29,0.00502029488052516,0.000519611716618364,0.000661852525075521,3.63310627528237e-26,0,1.22233059123485e-13,5.90652180525799e-72,1.11146372098475e-54,3.53844777902848e-30,0.029805835383314,2.19870791806717e-09,0.0138548245374961,0.623832315907326,1.17180116479764e-189,2.39695520250351e-45,4.2967504040528e-27,0.306887959765403,5.72483154246204e-22,0.000156483839782603,2.86383212117193e-16,0.375831624982773,0.0513304292610092,0,1.22383096325272e-85,1.03711013453751e-31,0.795508447378874,3.30561708687511e-16,7.57027346555471e-64,4.12445003965428e-45,2.78641725103576e-33,7.92950922079284e-35,1.71586813035291e-30,1.10078580491039e-36,0.45637761816105,0.00306698096206056,1.01188887025104e-30,3.96447674040871e-06,4.07448127405283e-106,8.54388285261506e-05,1.79914369843907e-49,8.12593568226354e-06,2.5640834360173e-175,0.95547382585143,8.5443055582121e-18,7.72907527306757e-56,6.15465698448896e-49,9.56447533415093e-06,1.90785798168302e-22,1.91850215409656e-87,0.54372000658251,2.61149053132626e-25,7.18064773766065e-79,1.21481117007921e-05,3.26037935435974e-99,1.47489463064891e-224,0,4.17088470750422e-76,1.31149111315876e-33,1.68112347585012e-06,0.000753974209460822,4.59967318428757e-29,0.0734814819070782,5.90604929062666e-07,1.70756561035837e-66,0,2.45949434949866e-21,8.86562566441773e-197,8.27227103657496e-10,4.95077873557744e-102,5.72290168605177e-10,0.0812596048375654,1.80003335137522e-172,1.75853154197023e-35,1.85327612987472e-18,1.73225642010875e-15,1.16736788874342e-05,7.63727090751245e-07,9.47076259551194e-92
"AHRQ_BiliaryTractDs_DT",2.03558953855551e-34,1.24858915546541e-06,0.0038979400425864,0.000303762213976974,0.266828909532516,1.72264957098492e-06,0.000733814946388761,0,0.0188801946339313,0.527857395919074,0.00516747083246787,0.337094076989868,0.352432877213095,0.0618480750134103,0.142773555600721,7.04264159770787e-06,3.43923747496646e-15,0.789103508644903,0.0497082234949484,0.00153125490064827,9.80187404467868e-26,1.00638800093395e-26,0.023271518057925,1.85214196972459e-06,2.58934880133822e-10,0.744162466050067,0.238558867462728,0.590817837090121,0.512810534051532,0.203582829212636,7.31569026308162e-14,0.238026722474903,7.93295599160078e-12,0.113677337977638,0.000634033918659389,5.06870980263259e-06,2.73000131282212e-12,0.103656748945707,0.790680142292674,0.274368399785118,0.0790831649933737,3.38084711504333e-11,0.00554861651712004,0,7.04139943122044e-28,0.303150631205462,0.408469307326587,9.83225494018177e-23,4.4447263532046e-19,0.00379447151129861,0.148185546849407,0.000199031421259999,2.95859538014174e-10,0.535782052863747,7.79378733973132e-81,0.0014937174101481,0.00136126599561874,0.0325201248120391,0.0319040598776057,0.00597496478034053,0.000104164934509532,2.37402445767882e-31,0.750199284616677,3.06141952358851e-06,3.91297047681193e-244,0.00167845123709638,0.215655793985235,0.000323338427302772,0.00390130427969231,0.00261034406093101,0.00487529854225188,1.90660675729871e-26,0.000863733338673326,5.118105288999e-06,0.0192069861554421,0.801797188027993,0.55865671659653,0.8954732551832,0.00348629100810743,0.928391446989735,1.19747938258411e-191,2.72400812776741e-19,8.12523945359805e-21,0.0228759994351867,0.12027744594038,9.08249804528977e-42,0.0271612476057374,4.7411620397597e-09,4.02148234923901e-122,3.06883889338615e-15,5.11243279764931e-08,0.64604012419927,0.683910347389354,0.527589692157727,5.19372993806522e-07
"AHRQ_Burns_DT",0.0974680854069274,0.0253053522069306,0.755400190681004,0.000862861324468185,0.0221665884365111,0.292954519533505,0.819335497042699,0.977297554506728,0,0.679003778137349,0.835271504876702,6.05873118910255e-05,2.56513587761644e-09,6.48841000229641e-06,0.965080230849746,1.70422936704362e-13,1.8189286758352e-27,0.924517208035285,0.508852112530672,0.793365024219622,0.456959130997485,0.858078470491111,0.586666759620287,0.0228656603117271,0.000128424481060578,1.90334970413587e-09,0.159498500935122,2.98470679600518e-11,0.015164289972504,8.51661167785204e-10,0.259732123266041,8.30678826744677e-22,0.0365770595363508,0.292963746567555,0.306977451870038,0.0360596396878227,0.413778277307168,0.89383508484241,0.847520968054015,0.00883421186101278,0.426199987301645,0.530829699513827,0.00070494095395064,0.000988650509850417,0.444583977443106,0.000235403573781714,0.86426826248109,0.000612296011902695,8.51597166327179e-14,3.08163644987181e-22,0.081335105142827,0.176330315947569,0.00230982958291275,0.330706461457376,0.0696916458363333,0.338347637434556,0.0758144628659818,0.711543633825334,2.2194347180536e-16,0.208030823708241,0.0069886688561861,3.25034228678258e-13,1.88834193056776e-10,0.372182038999661,0.105101935018322,3.27226991684985e-17,0.342214782750471,5.14400576486099e-11,0.000558198257241977,3.42171558574351e-07,0.00515386230173769,2.35984406786791e-32,4.05265187871265e-17,5.37947578324356e-14,0.156632408500633,3.10990360686425e-12,0.059458386043064,6.41106322963222e-38,0.0136849804832817,0.0163175501402829,0.948213078540776,0.000370310772991191,4.23727322664078e-08,5.3392611982745e-29,0.000586263964804528,1.88926489798961e-24,5.90920384845834e-05,1.45466035856711e-13,3.91854024122836e-44,1.14476509953834e-10,0.659673218629769,0.00138034856361337,0.000978211936417005,0.628031324884251,0.168116478896052
"AHRQ_CNSInfection_DT",0.00173370122707105,0.37605458951906,0.0815819547647216,0.0108008543364099,0.53192341530561,0.0734864577293058,4.33420833992018e-35,0.0862234444579579,0.130988062939615,0,1.63280220107265e-11,0.602032569901573,0.0490230999371018,0.447747301919544,0.0601335417108786,0.141030783271567,6.55861241494234e-30,0.107776509905154,0.412665850590351,0.398952800040992,0.0857911758275479,1.70560187125535e-16,0.511162067260289,6.65913727924519e-10,8.75837317313202e-06,0.957649069757873,0.686229916665704,0.0141279112146948,2.04702150497871e-35,0.000887820753916566,4.01037566774898e-13,4.90179841614441e-05,0.0121663044518747,0.976210618309755,9.31874569378975e-47,2.19700992087232e-10,0.0723378343638514,0.094879416826891,0.528343437943226,8.88216370313193e-30,0.572833822965008,0.0188129929786305,0.828199892971947,0.24331837405669,0.233170831426448,0.898626122053257,1.60161605121354e-07,0.0266422112748736,8.5602850436385e-05,0.0798081269268111,0.678022591075848,0.547234325728761,0.363163533527233,0.627315341536866,1.56536613231265e-06,0.415084030815923,2.44506510321127e-20,0.24905039485673,5.65815088423144e-07,0.0258818486639904,3.33316602349721e-29,0.000206247525049506,0.330667117277263,0.241889463416915,0.0418846828033304,4.73468487421366e-34,0.507797900225302,0.532424660808125,0.245394865354387,0.779794481893527,0.919089945650055,3.69251193171018e-05,3.08971837741742e-06,7.36643333682176e-08,0.0527433307344053,0.694342978089034,0.607880425185729,0.0785482764580574,2.03734362903542e-06,0.142841667858722,0.00020261435166733,8.96399838451734e-14,2.46446651085021e-08,3.63054623877547e-06,0.028976136912396,7.10743473980205e-09,0.0351334196612505,0.0799105643082851,6.26146870781862e-08,0.000710454644101601,0.00610357771720101,0.00456129974190488,0.262077356950693,0.842913746364115,0.0555535319911471
